"","DUST_JKT_PP1_0001","DUST_IDM_PP2_000P","DUST_IDM_PP3_000P","DUST_CLP_PP4_000P","DUST_SBY_BP1_0027","DUST_SBY_PP5_000P","DUST_BYW_PP6_000P"
"Sphyrna lewini",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Carcharhinus falciformis",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Sphyrna zygaena",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Carcharhinus sorrah",0,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,3.03030303030303
"Sphyrna mokarran",0,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,3.03030303030303
"Stegostoma fasciatum",0,0,2.08333333333333,0,0,0,0
"Glaucostegus typus",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,0
"Galeocerdo cuvier",12.5,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,3.03030303030303
"Carcharhinus macloti",0,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,3.03030303030303
"Carcharhinus amblyrhynchoides",12.5,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Carcharhinus longimanus",12.5,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Alopias pelagicus",0,0,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Prionace glauca",12.5,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,3.03030303030303
"Rhynchobatus sp.",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,0
"Alopias superciliosus",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Rhizoprionodon oligolinx",12.5,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Rhina ancylostoma",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Hemigaleus australiensis",0,2.32558139534884,2.08333333333333,0,0,0,0
"Rhynchobatus springeri",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,0
"Isurus oxyrinchus",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Carcharhinus melanopterus",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Carcharhinus sp.",0,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,3.03030303030303
"Himantura gerrardi",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Hexanchus griseus",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Eusphyra blochii",0,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,0
"Mobula thurstoni",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Himantura hortlei",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Mustelus griseus",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Himantura sp.",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,0
"Carcharhinus tjutjot",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,0
"Mobula sp.",0,0,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Isurus paucus",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Carcharhinus plumbeus",0,0,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,3.03030303030303
"Carcharhinus amboinensis",0,2.32558139534884,2.08333333333333,2.04081632653061,0,3.84615384615385,3.03030303030303
"Mustelus manazo",0,0,0,2.04081632653061,0,3.84615384615385,3.03030303030303
"Gymnura poecilura",0,0,2.08333333333333,0,7.14285714285714,0,3.03030303030303
"Chiloscyllium punctatum",0,2.32558139534884,2.08333333333333,0,0,0,0
"Himantura granulata",0,0,0,2.04081632653061,0,0,0
"Rhinobatinae",0,0,2.08333333333333,2.04081632653061,0,0,0
"Dasyatis zugei",0,2.32558139534884,0,2.04081632653061,0,0,0
"Pastinachus atrus",0,2.32558139534884,0,2.04081632653061,0,3.84615384615385,0
"Loxodon macrorhinus",0,2.32558139534884,2.08333333333333,0,0,0,0
"Himantura leoparda",0,0,0,2.04081632653061,0,0,0
"Hemigaleus microstoma",0,2.32558139534884,2.08333333333333,0,0,0,0
"Manta birostris",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Mobula tarapacana",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Squalus hemipinnis",12.5,0,0,2.04081632653061,0,0,3.03030303030303
"Dasyatis thetidis",12.5,0,0,2.04081632653061,0,0,0
"Carcharhinidae",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Rhinoptera sp.",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,0
"Hemipristis elongata",0,2.32558139534884,2.08333333333333,2.04081632653061,7.14285714285714,3.84615384615385,0
"Neotrygon kuhlii",0,2.32558139534884,2.08333333333333,2.04081632653061,0,0,3.03030303030303
"Himantura jenkinsii",0,0,0,2.04081632653061,0,0,0
"Scoliodon macrorhynchos",0,2.32558139534884,2.08333333333333,0,0,0,0
"Anoxypristis cuspidata",12.5,0,0,0,0,3.84615384615385,0
"Carcharias taurus",0,0,0,2.04081632653061,0,0,0
"Chiloscyllium plagiosum",0,0,2.08333333333333,0,0,0,0
"Carcharhinus albimarginatus",0,0,0,0,0,3.84615384615385,0
"Lamiopsis tephrodes",0,2.32558139534884,2.08333333333333,0,0,0,0
"Carcharhinus leucas",0,0,0,2.04081632653061,0,0,0
"Glyphis glyphis",0,0,0,0,0,3.84615384615385,0
