"","DUST_JKT_PP1_0001","DUST_IDM_PP2_000P","DUST_IDM_PP3_000P","DUST_CLP_PP4_000P","DUST_SBY_BP1_0027","DUST_SBY_PP5_000P","DUST_BYW_PP6_000P"
"Sphyrna lewini",0,28.4602750847988,12.9031999033968,6.97695680288385,0.606218453842559,40.9179832348166,29.0423821666003
"Carcharhinus falciformis",0,0.11784535369972,0.767103900952017,15.9545402175469,3.33616915767615,5.7219167190482,14.0912323749172
"Sphyrna zygaena",0,1.83627112687397,1.63814761064085,15.9505517566433,1.16833343823301,2.73689646703913,4.95637867350399
"Carcharhinus sorrah",0,10.0481392117108,12.172142271122,2.25926383835889,0,1.43884222870774,0.312403350228691
"Sphyrna mokarran",0,13.2802877590665,3.82086952693686,4.04088488758117,0,23.8857265516835,0.142591968255874
"Stegostoma fasciatum",0,0,13.3043287879034,0,0,0,0
"Glaucostegus typus",0,8.6181943581212,11.3004204267259,1.81779667059739,0,0,0
"Galeocerdo cuvier",7.87578389994893,0.41497631220981,0.887682233234732,7.27147357536647,0,1.11113992426981,10.3630129286542
"Carcharhinus macloti",0,6.03133395284839,9.98274517158901,0.117338270536622,0,0.212531082300381,0.255076267309514
"Carcharhinus amblyrhynchoides",75.2533567325194,6.59386614587439,5.64358495920323,2.71419578277125,8.92721549463963,5.77039175052145,0.220902527383765
"Carcharhinus longimanus",0.53587921874943,0.785242775631632,0.668138553926625,7.61412149129741,0.99875032369875,0.212531082300381,1.76491765134433
"Alopias pelagicus",0,0,0.0335752256163215,6.25781885854231,0,0,2.29834191425251
"Prionace glauca",13.6043681672319,0.349585813621025,0.294621409254786,3.02835257174045,0,0.33604114677721,15.3278075432457
"Rhynchobatus sp.",0,3.43938887541723,6.17282143834995,1.41736224018276,0,0,0
"Alopias superciliosus",0,0.204114140078531,0.230180150020736,3.91949849896723,35.5246082930591,0.33604114677721,0.653438488428989
"Rhizoprionodon oligolinx",0.656315325185206,3.23377614090227,3.84996733754229,0.236447709830331,0.606218453842559,0.324646590715006,0.481445896621159
"Rhina ancylostoma",0,0.779919034351617,0.973970941638894,3.10830667140412,0.91651615376266,0.425062164600763,0.55957129040247
"Hemigaleus australiensis",0,2.74961268415677,3.52627793315565,0,0,0,0
"Rhynchobatus springeri",0,0.38003984647536,3.47093790711838,0.517547514077244,0,0,0
