"","Alopias pelagicus","Alopias superciliosus","Anoxypristis cuspidata","Carcharhinidae","Carcharhinus albimarginatus","Carcharhinus amblyrhynchoides","Carcharhinus amblyrhynchoidesX","Carcharhinus amboinensis","Carcharhinus brachyurus","Carcharhinus brevipinna","Carcharhinus dussumieriX","Carcharhinus falciformis","Carcharhinus leucas","Carcharhinus longimanus","Carcharhinus macloti","Carcharhinus melanopterus","Carcharhinus obscurus","Carcharhinus plumbeus","Carcharhinus sorrah","Carcharhinus sp.","Carcharhinus tjutjot","Carcharias taurus","Chiloscyllium plagiosum","Chiloscyllium punctatum","Dasyatis thetidis","Dasyatis zugei","Eusphyra blochii","Galeocerdo cuvier","Glaucostegus typus","Glyphis glyphis","Gymnura poecilura","Hemigaleus australiensis","Hemigaleus microstoma","Hemipristis elongata","Hexanchus griseus","Himantura gerrardi","Himantura granulata","Himantura hortlei","Himantura jenkinsii","Himantura leoparda","Himantura sp.","Himantura uarnak","Isurus oxyrinchus","Isurus paucus","Lamiopsis tephrodes","Lamna nasus","Loxodon macrorhinus","Manta birostris","Mobula birostris","Mobula mobular","Mobula sp.","Mobula tarapacana","Mobula thurstoni","Mustelus griseus","Mustelus manazo","Neotrygon kuhlii","Pastinachus atrus","Pateobatis fai","Prionace glauca","Rhina ancylostoma","Rhinobatinae","Rhinobatos penggali","Rhinoptera sp.","Rhizoprionodon oligolinx","Rhizoprionodon taylori","Rhynchobatus australiae","Rhynchobatus cf. laevis KKB_2014","Rhynchobatus sp.","Rhynchobatus springeri","Scoliodon macrorhynchos","Sphyrna lewini","Sphyrna mokarran","Sphyrna zygaena","Squalus hemipinnis","Stegostoma fasciatum","Triaenodon obesus","Urogymnus granulatus"
"DUST_JKT_PP1_0001",0,0,1.002538219,0,0,75.25335673,0,0,0,0,0,0,0,0.535879219,0,0,0,0,0,0,0,0,0,0,0.535879219,0,0,7.8757839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.60436817,0,0,0,0,0.656315325,0,0,0,0,0,0,0,0,0,0.535879219,0,0,0
"DUST_IDM_PP2_000P",0,0.20411414,0,0.411616125,0,6.593866146,0,0.129093117,0,0,0,0.117845354,0,0.785242776,6.031333953,0.229722885,0,0,10.04813921,1.173730258,1.872962739,0,0,0.516372468,0,0.091282619,0.600895758,0.414976312,8.618194358,0,0,2.749612684,0.273847855,0.353536061,0.158106133,0.614606171,0,0.105404089,0,0,0.329124161,0,0.091282619,0.258186234,0.210808177,0,0.909778343,0.091282619,0,0,0,0.074531946,0.117845354,3.011404222,0,0.074531946,0.488738653,0,0.349585814,0.779919034,0,0,0.252750126,3.233776141,0,0,0,3.439388875,0.380039846,0.235690707,28.46027508,13.28028776,1.836271127,0,0,0,0
"DUST_IDM_PP3_000P",0.033575226,0.23018015,0,0.243275622,0,5.643584959,0,0.388661336,0,0,0,0.767103901,0,0.668138554,9.982745172,0.246726512,0,0.097887763,12.17214227,1.696296692,0.974549481,0,0.125626991,0.732524941,0,0,0.078740884,0.887682233,11.30042043,0,0.376880973,3.526277933,0.514150619,0.205605427,0.204230124,0.153861013,0,0.103485796,0,0,0.100725677,0,0.091949542,0.191408236,0.041121085,0,0.313168856,0.071223809,0,0,0.071223809,0.062813495,0.106174186,0.788124338,0,0.047482539,0,0,0.294621409,0.973970942,0.033575226,0,0.075076487,3.849967338,0,0,0,6.172821438,3.470937907,0.222712851,12.9031999,3.820869527,1.638147611,0,13.30432879,0,0
"DUST_CLP_PP4_000P",6.257818859,3.919498499,0,0.102129855,0,2.714195783,0,0.745477989,0,0,0,15.95454022,0.064592592,7.614121491,0.117338271,0.145870611,0,0.064592592,2.259263838,0.745757771,0.067745282,0.113726994,0,0,0.361372318,0.538874128,0.718692372,7.271473575,1.817796671,0,0,0,0,0.10808408,0.132375422,1.546719487,0.653631075,1.27363751,0.255936684,0.457651164,1.264266961,0,1.376746817,0.844163647,0,0,0,0.097959516,0,0,1.118776512,0.040851942,1.349815183,0.061277913,0.796874701,0.040851942,0.467571849,0,3.028352572,3.108306671,0.612097888,0,0.273280868,0.23644771,0,0,0,1.41736224,0.517547514,0,6.976956803,4.040884888,15.95055176,0.356138975,0,0,0
"DUST_SBY_BP1_0027",0,35.52460829,0,0,0,8.927215495,0,0,0,0,0,3.336169158,0,0.998750324,0,21.52227975,0,7.571666061,0,0,0,0,0,0,0,0,0,0,0,0,0.324037394,0,0,1.024696211,0,0,0,0,0,0,0,0,16.86707236,0.606218454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916516154,0,0,0,0.606218454,0,0,0,0,0,0,0.606218454,0,1.168333438,0,0,0,0
"DUST_SBY_PP5_000P",0,0.336041147,0.15028217,0,0.397609247,5.770391751,0,0.245409755,0,0,0,5.721916719,0,0.212531082,0.212531082,2.854042652,0,1.423059204,1.438842229,0.790470878,0,0,0,0,0,0,4.06873536,1.111139924,0,0.245409755,0,0,0,0.260296353,0,0,0,0,0,0,0,0,5.304769002,0.287768446,0,0,0,0,0,0,0,0,0,0,0.229559806,0,0.312837283,0,0.336041147,0.425062165,0,0,0,0.324646591,0,0,0,0,0,0,40.91798323,23.88572655,2.736896467,0,0,0,0
"DUST_BYW_PP6_000P",2.298341914,0.653438488,0,0.127538134,0,0.220902527,0,0.201655495,0,0,0,14.09123237,0,1.764917651,0.255076267,4.698616317,0,1.309984892,0.31240335,0.446383468,0,0,0,0,0,0,0,10.36301293,0,0,0.090183079,0,0,0,4.251058553,0.791353308,0,0.142591968,0,0,0,0,2.768635218,0.413270787,0,0,0,1.24145124,0,0,0.502118134,1.249613401,0.262926598,0.090183079,0.090183079,0.762567128,0,0,15.32780754,0.55957129,0,0,0,0.481445897,0,0,0,0,0,0,29.04238217,0.142591968,4.956378674,0.090183079,0,0,0
"HTB_JKT_PP1_0001",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTB_IDM_PP2_0001",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HTB_IDM_PP3_0001",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
