Sample,HTB_JKT_PP1_0001,HTB_IDM_PP2_0001,HTB_IDM_PP3_0001,HTB_CLP_PP4_0001,HTB_SBY_BP1_0001,HTB_SBY_PP5_0001,HTB_BYW_PP6_0001
Alopias pelagicus,0,0,0,1,0,0,0
Alopias superciliosus,1,0,0,1,0,0,0
Carcharhinus albimarginatus,0,0,0,0,1,0,0
Carcharhinus amblyrhynchoides,0,0,0,1,0,0,0
Carcharhinus amblyrhynchoidesX,0,1,1,0,1,0,1
Carcharhinus brachyurus,0,0,0,1,0,0,0
Carcharhinus brevipinna,0,1,0,1,1,0,1
Carcharhinus dussumieriX,0,0,0,0,1,0,0
Carcharhinus falciformis,0,0,0,1,0,0,1
Carcharhinus leucas,0,0,0,1,1,0,0
Carcharhinus longimanus,1,0,1,1,1,0,0
Carcharhinus macloti,0,1,0,0,1,0,0
Carcharhinus melanopterus,0,0,0,0,0,0,1
Carcharhinus obscurus,0,0,0,0,1,0,0
Carcharhinus plumbeus,0,0,0,1,0,0,0
Carcharhinus sorrah,0,1,1,1,1,0,0
Chiloscyllium punctatum,0,0,1,0,0,0,0
Galeocerdo cuvier,0,0,1,1,0,0,1
Glaucostegus typus,0,0,1,0,0,1,0
Hemigaleus australiensis,0,1,1,1,0,0,0
Himantura uarnak,0,0,0,1,0,0,0
Isurus oxyrinchus,1,0,0,1,1,1,0
Isurus paucus,1,0,0,1,0,0,0
Lamna nasus,1,0,0,0,0,0,0
Mobula birostris,0,0,0,1,1,0,0
Mobula mobular,0,0,0,0,0,0,1
Mobula tarapacana,0,0,0,0,1,0,0
Mustelus manazo,0,0,0,0,1,0,0
Pateobatis fai,0,0,0,1,0,0,0
Prionace glauca,0,0,0,1,1,0,1
Rhina ancylostoma,0,0,0,0,1,1,0
Rhinobatos penggali,0,0,0,1,0,0,0
Rhizoprionodon taylori,0,0,1,0,0,0,0
Rhynchobatus australiae,0,0,0,0,0,1,0
Rhynchobatus cf. laevis KKB_2014,0,0,1,0,0,0,0
Rhynchobatus springeri,0,0,1,0,1,1,0
Sphyrna lewini,0,0,0,0,0,0,0
Sphyrna mokarran,0,1,1,1,0,1,0
Stegostoma fasciatum,0,0,1,0,0,0,0
Triaenodon obesus,0,0,0,0,1,0,0
Urogymnus granulatus,0,0,0,1,0,0,0
