,Type,Site,Location,ID,ID_ori,ID2,Richness
DUST_JKT_PP1_0001,DUST,JKT,PP1,1,D1,JKT1,8
DUST_IDM_PP2_000P,DUST,IDM,PP2,P,D2,IDM2,43
DUST_IDM_PP3_000P,DUST,IDM,PP3,P,D3,IDM3,48
DUST_CLP_PP4_000P,DUST,CLP,PP4,P,D4,CLP4,49
DUST_SBY_BP1_0027,DUST,SBY,BP1,5,D5,SBY5,14
DUST_SBY_PP5_000P,DUST,SBY,PP5,P,D6,SBY6,26
DUST_BYW_PP6_000P,DUST,BYW,PP6,P,D7,BYW7,33
HTB_JKT_PP1_0001,TISSUE,JKT,PP1,1,H1,JKT1,5
HTB_IDM_PP2_0001,TISSUE,IDM,PP2,1,H2,IDM2,7
HTB_IDM_PP3_0001,TISSUE,IDM,PP3,1,H3,IDM3,13
HTB_CLP_PP4_0001,TISSUE,CLP,PP4,1,H4,CLP4,21
HTB_SBY_BP1_0001,TISSUE,SBY,BP1,1,H5,SBY5,18
HTB_SBY_PP5_0001,TISSUE,SBY,PP5,1,H6,SBY6,7
HTB_BYW_PP6_0001,TISSUE,BYW,PP6,1,H7,BYW7,8
