,Kingdom,Phylum,Class,Order,Family,Genus,Species
Alopias pelagicus,Metazoa,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Alopias,Alopias pelagicus
Alopias superciliosus,Metazoa,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Alopias,Alopias superciliosus
Anoxypristis cuspidata,Metazoa,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Pristidae,Anoxypristis,Anoxypristis cuspidata
Carcharhinidae,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,None,None
Carcharhinus albimarginatus,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus albimarginatus
Carcharhinus amblyrhynchoides,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchoides
Carcharhinus amboinensis,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus amboinensis
Carcharhinus brachyurus,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brachyurus
Carcharhinus brevipinna,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brevipinna
Carcharhinus dussumieri,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus dussumieri
Carcharhinus falciformis,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis
Carcharhinus leucas,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus leucas
Carcharhinus longimanus,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus longimanus
Carcharhinus macloti,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus macloti
Carcharhinus melanopterus,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus melanopterus
Carcharhinus obscurus,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus obscurus
